id,Chlorophyll,Temp
701,1.38753963,26.6000004
702,2.48920536,27.7875004
703,-32767,-9999
704,0.932584345,27.2250004
705,1.23513675,-9999
706,1.23308134,27.6625004
707,0.162173346,27.4750004
708,1.08415318,27.4125004
709,0.83699739,27.4750004
710,0.217287183,-9999
711,-32767,26.1625004
712,-32767,-9999
713,1.02918339,27.2875004
714,-32767,27.1625004
715,-32767,27.4750004
716,-32767,27.4750004
717,-32767,-9999
718,-32767,27.6625004
719,-32767,-9999
720,-32767,27.2875004
721,-32767,-9999
722,1.22531545,26.7250004
723,0.653174818,26.6000004
724,-32767,26.8500004
725,-32767,27.0375004
726,-32767,-9999
727,-32767,26.4125004
728,-32767,-9999
729,-32767,26.2250004
730,-32767,26.4750004
731,2.01300764,26.3500004
732,1.85441613,26.6625004
733,0.277210712,26.9750004
734,2.03396416,25.9750004
735,1.95499957,-9999
736,-32767,25.9750004
737,-32767,-9999
738,1.60966706,-9999
739,1.13786292,24.2250004
740,-32767,24.2250004
741,1.93926752,25.6000004
742,1.32317448,-9999
743,0.471963763,25.4125004
744,-32767,-9999
745,-32767,25.2875004
746,1.44218671,-9999
747,1.6107887,-9999
748,-32767,26.4125004
749,1.3685509,26.9750004
750,-32767,25.7250004
751,-32767,-9999
752,1.36991894,25.3500004
753,1.1554178,-9999
754,1.02057719,25.2250004
755,1.45884216,26.1625004
756,1.17562652,26.1625004
757,1.30601501,25.4125004
758,-32767,-9999
759,1.06101811,24.6625004
760,1.20530748,-9999
761,0.747839749,25.4125004
762,-32767,25.2250004
763,-32767,24.7875004
764,-32767,25.1000004
765,-32767,25.2250004
766,-32767,25.0375004
767,1.19833493,-9999
768,-32767,24.2875004
769,1.33649027,-9999
770,0.56807524,23.5375004
771,1.12974167,24.3500004
772,0.561096728,24.6000004
773,-32767,24.0375004
774,-32767,-9999
775,-32767,23.2875004
776,-32767,-9999
777,1.90973699,24.1000004
778,1.78058231,24.4125004
779,5.37773418,23.8500004
780,3.73923779,24.7875004
781,3.3562119,23.7250004
782,3.84229398,24.1625004
783,-32767,-9999
784,5.28367519,23.8500004
785,3.74895334,-9999
786,1.19586086,23.7250004
787,1.11844563,24.0375004
788,2.11468434,23.4750004
789,2.00131083,24.2875004
790,1.98024094,-9999
791,1.23362291,24.0375004
792,1.42710304,-9999
793,-32767,24.3500004
794,1.3467803,24.7250004
795,1.50210464,23.6625004
796,1.58570349,23.6625004
797,1.25543237,23.9125004
798,1.50955701,24.2875004
799,1.03201902,-9999
